ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_hdr_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip	rtp_seq	rtp_payload_type	rtp_ts	rtp_marker	rtp_ext_flag	rtp_ext_len	rtp_padding_len
1652830550.717205615	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754004827										
1652830550.717217115	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754004970										
1652830550.717244485	142.250.68.99	443		192.168.1.236	49390		709	20	6	0x0018	3754004970	1371731814										
1652830550.717252633	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754005627										
1652830550.718268040	142.250.68.99	443		192.168.1.236	49390		186	20	6	0x0018	3754005627	1371731814										
1652830550.718321632	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754005761										
1652830550.718371668	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0018	3754005761	1371731814										
1652830550.718469147	142.250.68.99	443		192.168.1.236	49390		1136	20	6	0x0018	3754007179	1371731814										
1652830550.729408907	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754008263										
1652830550.731576608	142.250.68.99	443		192.168.1.236	49390		1136	20	6	0x0018	3754007179	1371731814										
1652830550.731638866	192.168.1.236	49390		142.250.68.99	443		64	20	6	0x0010	1371731814	3754008263										
1652830550.734092728	193.201.166.129			192.168.1.236			84	20	1													
1652830550.735731327	192.168.1.236	49390		142.250.68.99	443		91	20	6	0x0018	1371731814	3754008263										
1652830550.744478720	142.250.68.99	443		192.168.1.236	49390		52	20	6	0x0010	3754008263	1371731853										
1652830550.770842323	192.168.1.236		58518	142.250.68.99		443	1278	20	17				ssl.gstatic.com									
1652830550.774319351	192.168.1.236	49390		142.250.68.99	443		131	20	6	0x0018	1371731853	3754008263										
1652830550.775086429	142.250.68.99		443	192.168.1.236		58518	1278	20	17													
1652830550.777204890	142.250.68.99	443		192.168.1.236	49390		52	20	6	0x0010	3754008263	1371731932										
1652830550.778138725	142.250.68.99	443		192.168.1.236	49390		156	20	6	0x0018	3754008263	1371731932										
1652830550.778194483	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754008367										
1652830550.778250630	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0018	3754008367	1371731932										
1652830550.778271463	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754009785										
1652830550.778427571	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0010	3754009785	1371731932										
1652830550.778451534	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754011203										
1652830550.778542236	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0018	3754011203	1371731932										
1652830550.778554680	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754012621										
1652830550.778584568	142.250.68.99	443		192.168.1.236	49390		180	20	6	0x0018	3754012621	1371731932										
1652830550.778584753	142.250.68.99	443		192.168.1.236	49390		91	20	6	0x0018	3754012749	1371731932										
1652830550.778598679	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754012749										
1652830550.778610549	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731932	3754012788										
1652830550.780464607	142.250.68.99		443	192.168.1.236		58518	1278	20	17													
1652830550.780527791	142.250.68.99		443	192.168.1.236		58518	1278	20	17													
1652830550.783008708	192.168.1.236		58518	142.250.68.99		443	69	20	17													
1652830550.786253166	142.250.68.99		443	192.168.1.236		58518	1270	20	17													
1652830550.791381793	192.168.1.236		58518	142.250.68.99		443	195	20	17													
1652830550.793828600	192.168.1.236	49390		142.250.68.99	443		91	20	6	0x0018	1371731932	3754012788										
1652830550.794715287	142.250.68.99		443	192.168.1.236		58518	858	20	17													
1652830550.794717602	142.250.68.99		443	192.168.1.236		58518	121	20	17													
1652830550.799231425	192.168.1.236		58518	142.250.68.99		443	61	20	17													
1652830550.801219740	192.168.1.236			193.201.166.129			84	20	1													
1652830550.802391126	142.250.68.99	443		192.168.1.236	49390		52	20	6	0x0010	3754012788	1371731971										
1652830550.820056705	142.250.68.99		443	192.168.1.236		58518	53	20	17													
1652830550.970155196	192.168.1.236	53836		128.111.52.93	4506		60	20	6	0x0002	3478269430	0										
1652830550.970698019	128.111.52.93	4506		192.168.1.236	53836		60	20	6	0x0012	2969369797	3478269431										
1652830550.970776721	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269431	2969369798										
1652830550.971384025	128.111.52.93	4506		192.168.1.236	53836		62	20	6	0x0018	2969369798	3478269431										
1652830550.971437894	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269431	2969369808										
1652830550.973426468	192.168.1.236	53836		128.111.52.93	4506		63	20	6	0x0018	3478269431	2969369808										
1652830550.973894219	128.111.52.93	4506		192.168.1.236	53836		52	20	6	0x0010	2969369808	3478269442										
1652830550.973970717	128.111.52.93	4506		192.168.1.236	53836		106	20	6	0x0018	2969369808	3478269442										
1652830550.974005013	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269442	2969369862										
1652830550.976266971	192.168.1.236	53836		128.111.52.93	4506		105	20	6	0x0018	3478269442	2969369862										
1652830550.976350803	192.168.1.236	53836		128.111.52.93	4506		92	20	6	0x0018	3478269495	2969369862										
1652830550.976768388	128.111.52.93	4506		192.168.1.236	53836		52	20	6	0x0010	2969369862	3478269495										
1652830550.976770350	128.111.52.93	4506		192.168.1.236	53836		52	20	6	0x0010	2969369862	3478269535										
1652830550.976872089	128.111.52.93	4506		192.168.1.236	53836		95	20	6	0x0018	2969369862	3478269535										
1652830550.976909366	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269535	2969369905										
1652830550.981190120	192.168.1.236	53836		128.111.52.93	4506		432	20	6	0x0018	3478269535	2969369905										
1652830550.981680852	128.111.52.93	4506		192.168.1.236	53836		52	20	6	0x0010	2969369905	3478269915										
1652830550.984363117	193.201.166.129			192.168.1.236			84	20	1													
1652830550.986493392	128.111.52.93	4506		192.168.1.236	53836		123	20	6	0x0018	2969369905	3478269915										
1652830550.986559854	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269915	2969369976										
